"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"11","Florida (Florida)","College","Men","Gainesville","FL","/teams/events/Eventteam/?TeamId=te2Q6t%2bNNudLUSy0Pvki5WpbZgQfnDuarPZ%2fsSkF6vo%3d",10,"Florida",1859,"Division I","Southeast","Florida DI",31,11,148,7.39759500489976
"12","North Carolina State (NC State Wolfpack)","College","Men","Raleigh","NC","/teams/events/Eventteam/?TeamId=hf6GgobEtcwaF0KWrncOw9SSW6XCYwiTDaH6PDMo1H0%3d",13,"North Carolina State",1782,"Division I","Atlantic Coast","Carolina DI",24,20,297,6.83053881443945
"13","Stanford (Stanford Bloodthirsty)","College","Men","Stanford","CA","/teams/events/Eventteam/?TeamId=OnRWnFRhqGQfWNwUYNLJP7SH6AJQEYLix3sj009SC9A%3d",14,"Stanford",1782,"Division I","Southwest","NorCal DI",24,10,397,6.43966899080217
"14","Colorado State (Hibida)","College","Men","Fort Collins","CO","/teams/events/Eventteam/?TeamId=i7gcqsUXqkPCWieDFLFHWTz409tFq0GzfPe25ppBHT4%3d",16,"Colorado State",1777,"Division I","South Central","Rocky Mountain DI",24,9,111,6.39738507778243
"15","Michigan (MagnUM)","College","Men","Ann Arbor","MI","/teams/events/Eventteam/?TeamId=fFnzzOKnLMwcz%2fnHgwIUWBok4I6BMsMb2NPpySt%2fLng%3d",32,"Michigan",1603,"Division I","Great Lakes","Michigan DI",17,10,260,6.13494992797506
"16","Texas (TUFF)","College","Men","Austin","TX","/teams/events/Eventteam/?TeamId=kckzyzYcTgFPmKebVfOqbLExIxKL9qfL8CvklBDevYI%3d",25,"Texas",1647,"Division I","South Central","South Texas DI",23,13,430,6.11548688712522
"17","Massachusetts (Zoodisc)","College","Men","Amherst","MA","/teams/events/Eventteam/?TeamId=SOMpAFN444WcMPv7OPGu6akZugV7lAwfSIRWfeLBhps%3d",8,"Massachusetts",1882,"Division I","New England","South New England DI",15,7,253,5.99948601068341
"18","Virginia Tech (Burn)","College","Men","Blacksburg","VA","/teams/events/Eventteam/?TeamId=lG2jRiKBNaAjoscusYXvA1BYqWJQQiKk1n1FbEu18ts%3d",12,"Virginia Tech",1820,"Division I","Atlantic Coast","Virginia DI",23,12,470,5.8923473192535
"19","William & Mary (Darkhorse)","College","Men","Williamsburg","VA","/teams/events/Eventteam/?TeamId=Wcos6%2f2FGRNePjsypP%2bmP1qJFYTtCp8usptgBG2tF70%3d",35,"William & Mary",1572,"Division I","Atlantic Coast","Virginia DI",34,8,493,5.89070289070703
"20","Brigham Young (CHI)","College","Men","Provo","UT","/teams/events/Eventteam/?TeamId=xcD%2f5zdAuy%2bshNQQNpeWA3lmNE6ryofQnGijLriF00A%3d",18,"Brigham Young",1761,"Division I","Northwest","Big Sky DI",21,10,45,5.76454886452566
"21","Colorado (Mamabird)","College","Men","Boulder","CO","/teams/events/Eventteam/?TeamId=wVF%2bINfGZ7P9F1tVpJ4hx9qL1I%2fiVHWwC3FdTP4hHi0%3d",19,"Colorado",1748,"Division I","South Central","Rocky Mountain DI",22,12,107,5.4603392005267
"22","California (California-Berkeley)","College","Men","Berkeley","CA","/teams/events/Eventteam/?TeamId=eE7NPC4u0V1TG1miXSGnY9mfFiuL%2bIGOaWuPYc6cX%2bM%3d",33,"California",1598,"Division I","Southwest","NorCal DI",29,20,71,5.44303690091162
"23","Western Washington (Dirt)","College","Men","Bellingham","WA","/teams/events/Eventteam/?TeamId=AypJPiiV%2fxUMrtJf%2fJ8g4rn2UUpVYRYclxftUhMDzwI%3d",26,"Western Washington",1645,"Division I","Northwest","Cascadia DI",20,14,486,5.17024834711992
"24","Northeastern (Huskies)","College","Men","Boston","MA","/teams/events/Eventteam/?TeamId=Dsv8Mimqjb4Agh29cqMJ7SlFDPEI2jp16yESkUH7%2fqQ%3d",42,"Northeastern",1508,"Division I","New England","Metro Boston DI",22,9,307,4.83817637109512
"25","Auburn (Aetos)","College","Men","Auburn","AL","/teams/events/Eventteam/?TeamId=UYx9Vv6D7a%2bwQ68sJP7r0qo3m580D%2f84ndntuBX8Vio%3d",24,"Auburn",1657,"Division I","Southeast","Gulf Coast DI",23,12,23,4.62267560241787
"26","Maryland (Maryland Ultimate)","College","Men","College Park","MD","/teams/events/Eventteam/?TeamId=9NjudxVpUUjxW0ZU2jEw%2fNDrgX69iiDZaOkqmAJgNZc%3d",34,"Maryland",1585,"Division I","Atlantic Coast","Colonial DI",25,15,248,4.48877936146009
"27","Wisconsin (Hodags)","College","Men","Madison","WI","/teams/events/Eventteam/?TeamId=4K5Df8P5NcbVr5w6f%2brJoG7LVqmfd0G58u%2fPpTXpgaI%3d",11,"Wisconsin",1831,"Division I","North Central","Lake Superior DI",23,13,509,4.35826070059433
"28","Southern California (USC Lockdown)","College","Men","Los Angeles","CA","/teams/events/Eventteam/?TeamId=qTy2thGIgv%2b0B8UuvQiYGHQnukiCMb4rF%2bQO6FmCecI%3d",41,"Southern California",1532,"Division I","Southwest","SoCal DI",20,14,386,4.22000217550021
"29","Texas State (Buckets)","College","Men","San Marcos","TX","/teams/events/Eventteam/?TeamId=gNdJC%2frNJM%2bCbS2J27RVCGIi6pB%2b1SKInT8SAKDpjHE%3d",29,"Texas State",1624,"Division I","South Central","South Texas DI",27,8,436,4.07617269142988
"30","Texas A&M (Dozen)","College","Men","COLLEGE STATION","TX","/teams/events/Eventteam/?TeamId=ojrcHmQooDCWhgI5Khw4kSKBcHkFJfd%2bX3leZpGI8jg%3d",20,"Texas A&M",1737,"Division I","South Central","South Texas DI",17,9,433,3.92702693860016
"31","Connecticut (UConn Huskies)","College","Men","Storrs","CT","/teams/events/Eventteam/?TeamId=UTitAt%2fiz7jjWILg7cjjdCYeO8GYxg9n7626fM96vA8%3d",51,"Connecticut",1469,"Division I","Metro East","Hudson Valley DI",26,14,114,3.66076203542639
"32","Kennesaw State (Parliament)","College","Men","Kennesaw","GA","/teams/events/Eventteam/?TeamId=RCe6R8syTPcgnvq2XXHBMMPHEOXWxw8ramWzIN55d5U%3d",66,"Kennesaw State",1365,"Division I","Southeast","Southern Appalachian DI",24,10,217,3.44991997250041
"33","California-Santa Barbara (Black Tide)","College","Men","Goleta","CA","/teams/events/Eventteam/?TeamId=VKj68xLYPvcKN9eov%2fVCYng3Cc4mED9TdF9hob8Z09U%3d",70,"California-Santa Barbara",1352,"Division I","Southwest","SoCal DI",20,21,68,3.42784410472928
"34","Air Force (Afterburn)","College","Men","USAF Academy","CO","/teams/events/Eventteam/?TeamId=i6dLYfvUUnx%2bORCbUN0tM8nRqWxEvSK1XnDLodz8pZA%3d",36,"Air Force",1556,"Division III","South Central","Rocky Mountain DIII",32,2,3,3.35944019685103
"35","Northwestern (NUT)","College","Men","Evanston","IL","/teams/events/Eventteam/?TeamId=gBcEoFJUGmtJ7cavKFmOp6VAHDHzFnFACatxYshSrio%3d",38,"Northwestern",1544,"Division I","Great Lakes","Illinois DI",24,16,315,3.33609713979321
"36","Ohio State (Leadbelly)","College","Men","Columbus","OH","/teams/events/Eventteam/?TeamId=CvXW7qYHK%2fMVhUfur9BMQ9y%2bCj2gZ5NT7epRGnyw%2fHk%3d",44,"Ohio State",1499,"Division I","Ohio Valley","Ohio DI",29,12,324,3.33347646954814
"37","Victoria (Vikes)","College","Men","Victoria","BC","/teams/events/Eventteam/?TeamId=JFLwVBvB6D%2fTFMKuyCSnTdI%2fFPOB9gUn2wVNuEDIkbI%3d",27,"Victoria",1633,"Division I","Northwest","Cascadia DI",13,12,464,3.26034942497276
"38","Utah (Zion Curtain)","College","Men","Salt Lake City","UT","/teams/events/Eventteam/?TeamId=CKRSb9HChyVwBCG4njvk6frll9bFrVW7DkHIGELuTZY%3d",64,"Utah",1371,"Division I","Northwest","Big Sky DI",27,12,456,3.11448031852982
"39","Illinois State (Gnomes)","College","Men","Normal","IL","/teams/events/Eventteam/?TeamId=VPv7JYEyMPL3FLobhV06GUT7V0zIJ9T7Xd%2bpbVdtudA%3d",50,"Illinois State",1470,"Division I","Great Lakes","Illinois DI",20,18,196,3.02918261199872
"40","Emory (Emory Juice)","College","Men","Atlanta","GA","/teams/events/Eventteam/?TeamId=uUAjVMT3ePhdo%2fbMwLa60RugADTMTFJApQ1S7WXuAz0%3d",15,"Emory",1781,"Division I","Southeast","Southern Appalachian DI",18,10,144,3.02177555864651
"41","Georgia Tech (Tribe)","College","Men","Atlanta","GA","/teams/events/Eventteam/?TeamId=MUkC4KGGBW6yWBwr3Hv89AAuW%2ft1YAgzfliYE8q7KlM%3d",22,"Georgia Tech",1668,"Division I","Southeast","Southern Appalachian DI",21,11,172,2.97238639014219
"42","Carnegie Mellon (Mr. Yuk)","College","Men","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=i7H0%2bAorOoKNZulAXidzcAp1MToCFSOrINYWicsnhIU%3d",28,"Carnegie Mellon",1630,"Division I","Ohio Valley","West Penn DI",21,11,78,2.95381736840138
"43","Illinois (Illinois Ultimate)","College","Men","Champaign","IL","/teams/events/Eventteam/?TeamId=OusnptUSKURt6njXyzKmR8NS54nRmGDLNFXGbcfLDYE%3d",43,"Illinois",1507,"Division I","Great Lakes","Illinois DI",23,17,194,2.94671953646413
"44","LSU (LSU Ultimate)","College","Men","Baton Rouge","LA","/teams/events/Eventteam/?TeamId=BEMQnZo2OntWr9Eo9Tf6XjaYgTpmlpTG2T22Jsn7d70%3d",31,"LSU",1611,"Division I","Southeast","Gulf Coast DI",16,18,234,2.81569589686377
"45","Texas-Dallas (Woof)","College","Men","Richardson","TX","/teams/events/Eventteam/?TeamId=KUawB8wqxJmAMNDplCFO7qGPC%2fJWrBdFEADUoGgchLA%3d",30,"Texas-Dallas",1613,"Division I","South Central","North Texas DI",24,7,428,2.75123943561797
"46","UCLA (Smaug)","College","Men","Los Angeles","CA","/teams/events/Eventteam/?TeamId=AmPGzNW6Sb%2bCLdfDn1DK2t%2f%2bZoBUIH8sY9Iaxis8tFI%3d",55,"UCLA",1425,"Division I","Southwest","SoCal DI",24,17,452,2.7493274237681
"47","Alabama (Yellow Hammer)","College","Men","Tuscaloosa","AL","/teams/events/Eventteam/?TeamId=QL6IoJevDuoQsQTgVtL6RGNoulNEHkZ%2belas4soHhfk%3d",92,"Alabama",1278,"Division I","Southeast","Gulf Coast DI",24,13,8,2.68959529620241
"48","Central Florida (Dogs of War)","College","Men","Orlando","FL","/teams/events/Eventteam/?TeamId=EJIweOGXOIg%2f09OJij9z%2b3zzpoEF726DMZQXj6o1fug%3d",39,"Central Florida",1537,"Division I","Southeast","Florida DI",14,23,86,2.61725144573801
"49","Alabama-Huntsville (Nightmares)","College","Men","Huntsville","AL","/teams/events/Eventteam/?TeamId=Rw2cH8oLHVsnzkFtpa%2bIegkGPNK4zR75l%2bjzOBC7pKY%3d",93,"Alabama-Huntsville",1270,"Division I","Southeast","Gulf Coast DI",21,15,7,2.61494600857155
"50","Florida State (DUF)","College","Men","TALLAHASSEE","FL","/teams/events/Eventteam/?TeamId=0jgQo1bPMYqqcGtqgsQEjmXTlJijNOzB9ygcjgCecqw%3d",79,"Florida State",1325,"Division I","Southeast","Florida DI",19,18,153,2.61232638177801
"51","Santa Clara (SCAB)","College","Men","Santa Clara","CA","/teams/events/Eventteam/?TeamId=BfvEgyx%2bKG%2bNN%2bdvxjpTm7UuhokTe%2fAcC8LcI9MHLuI%3d",71,"Santa Clara",1348,"Division I","Southwest","NorCal DI",24,11,372,2.51763867774924
"52","Georgetown (Catholic Justice)","College","Men","Washington","DC","/teams/events/Eventteam/?TeamId=IQxvbaOlhwOxVnMSu41vp0UC90et%2bX0cgZaVihP%2fIoc%3d",76,"Georgetown",1332,"Division I","Atlantic Coast","Colonial DI",24,16,164,2.33515616953679
"53","Dartmouth (Pain Train)","College","Men","Hanover","NH","/teams/events/Eventteam/?TeamId=O4MggfScFm7rYQgwBLPpBW2VK9bUbWMwGok%2b0UlDQnk%3d",47,"Dartmouth",1485,"Division I","New England","North New England DIII",18,9,122,2.31157887515676
"54","Tufts (Elephant Men)","College","Men","Medford","MA","/teams/events/Eventteam/?TeamId=szAuLJa3fbfnSdPHCjRKZacSRZa9UZrlOlmwLJUjsek%3d",23,"Tufts",1665,"Division I","New England","Metro Boston DI",13,10,447,2.30812006203822
"55","Middlebury (Pranksters)","College","Men","Middlebury","VT","/teams/events/Eventteam/?TeamId=aF8fdkwTj8b7lndsx4V2OTWNK01nQXqmeOyIn582qRY%3d",61,"Middlebury",1390,"Division III","New England","North New England DIII",21,1,265,2.20279854767097
"56","Marquette (Birdhouse)","College","Men","Milwaukee","WI","/teams/events/Eventteam/?TeamId=I8CqM%2bCqiwR69KEYY2yT1YBCndDKaa5hsB7gALFhg3E%3d",53,"Marquette",1436,"Division I","North Central","Lake Superior DI",21,11,242,2.15733901404109
"57","Iowa (IHUC)","College","Men","Iowa City","IA","/teams/events/Eventteam/?TeamId=wqWIM6Oa4%2f5i3gqnYiW5PPH%2bR1vdumhB5geuwuJn2Xc%3d",40,"Iowa",1537,"Division I","North Central","West Plains DI",20,8,200,2.04059494444645
"58","Notre Dame (Papal Rage)","College","Men","Notre Dame","IN","/teams/events/Eventteam/?TeamId=sbiXFkgSPG1N6ArkO96AodY2mgUvoW6%2b%2f3cduVpVaGI%3d",48,"Notre Dame",1484,"Division I","Great Lakes","East Plains DI",19,12,317,1.99378488786625
"59","Oregon State (Beavers)","College","Men","Corvallis","OR","/teams/events/Eventteam/?TeamId=gHVrKVgFHJFDm5JGYx4j8fJeRBXTjlWY9CyjfE6Knmg%3d",57,"Oregon State",1416,"Division I","Northwest","Cascadia DI",16,22,332,1.96585831709413
"60","James Madison (Hellfish)","College","Men","Harrisonburg","VA","/teams/events/Eventteam/?TeamId=DdbPyzziG%2f4WI7flg%2bPlvNtRVEiIoj5Dzj4QcE%2fX%2bI0%3d",59,"James Madison",1409,"Division I","Atlantic Coast","Virginia DI",21,16,205,1.93949801983383
"61","Cincinnati (Bearcats)","College","Men","Cincinnati","OH","/teams/events/Eventteam/?TeamId=yqvrNXAu2a6cafb2eAbRc1NL2%2f2FuzsLjwa6QVVvTNA%3d",74,"Cincinnati",1340,"Division I","Ohio Valley","Ohio DI",16,20,93,1.84279259003154
"62","Harvard (Red Line)","College","Men","Cambridge","MA","/teams/events/Eventteam/?TeamId=twQOfr%2fnz76yQGeyYyhBF1Wdx2vBZsj6Rub7FpxFj8o%3d",49,"Harvard",1482,"Division I","New England","Metro Boston DI",13,16,182,1.82373594312672
"63","South Carolina (Gamecock Ultimate)","College","Men","Columbia","SC","/teams/events/Eventteam/?TeamId=31L67HZPvjKWNhFZGzKBDrk%2bz7EMoiUQJKaufX8kVgU%3d",45,"South Carolina",1498,"Division I","Atlantic Coast","Carolina DI",18,10,382,1.81012593775965
"64","Tulane (Rex)","College","Men","New Orleans","LA","/teams/events/Eventteam/?TeamId=CW55jAgUM3Xcf%2bB9rmG760N%2fJDVaY2iyTUdsE0s7%2fIQ%3d",63,"Tulane",1378,"Division I","Southeast","Gulf Coast DI",18,15,449,1.79314844785371
"65","California-Davis (Davis Dogs)","College","Men","Davis","CA","/teams/events/Eventteam/?TeamId=29%2bMOkGix7Hlp1E9i6OfRlNgURCL2SYFSotXwZx53ak%3d",75,"California-Davis",1332,"Division I","Southwest","NorCal DI",22,14,61,1.76652937097008
"66","John Brown (Ironfist)","College","Men","Siloam Springs","AR","/teams/events/Eventteam/?TeamId=hOxWaM2XFJFKunm3XtTCgK5FyZ6WxF3J9bZAD4JlTh8%3d",68,"John Brown",1362,"Division III","South Central","Ozarks DIII",20,6,207,1.73827970474214
"67","Temple (Alert)","College","Men","Philadelphia","PA","/teams/events/Eventteam/?TeamId=HHdQZyOXLxnyEbPcxT%2fcZaly2rY60m1v%2f%2b2lrreRVkU%3d",56,"Temple",1423,"Division I","Ohio Valley","East Penn DI",20,12,421,1.70187298406149
"68","Iowa State (ISUC)","College","Men","Ames","IA","/teams/events/Eventteam/?TeamId=lxx28AX8%2bf117USm52V7WQfGBpuzKOZOU4ayCxklC48%3d",52,"Iowa State",1455,"Division I","North Central","West Plains DI",18,17,202,1.67221246898755
"69","Oklahoma State (Ultimato)","College","Men","Stillwater","OK","/teams/events/Eventteam/?TeamId=EW5wV1RdCgmxPyHgAZQK4gjlMWVjrH4obDKp3qwg7qs%3d",78,"Oklahoma State",1328,"Division I","South Central","Ozarks DI",20,17,327,1.55092462968672
"70","Virginia (Night Train)","College","Men","Charlottesville","VA","/teams/events/Eventteam/?TeamId=%2bJn7EbiI8N5nZ2OkkpDOUlB56yyMAVuYh4C2uXFSbdY%3d",80,"Virginia",1324,"Division I","Atlantic Coast","Virginia DI",17,18,467,1.52997986241537
"71","Arkansas (Ludicrous Speed )","College","Men","Fayetteville","AR","/teams/events/Eventteam/?TeamId=XepSE3nDJiyY7GcT9hbyXk9MqU%2bbCm1gJu5VDWZ5%2buA%3d",90,"Arkansas",1304,"Division I","South Central","Ozarks DI",17,14,20,1.51866802209368
"72","North Carolina-Charlotte (Charlotte Skyrise)","College","Men","Charlotte","NC","/teams/events/Eventteam/?TeamId=zqvrKnCJPuvqQ%2fkyEDvjzjTdZPuTnGKTvw3HvjA1SJw%3d",60,"North Carolina-Charlotte",1390,"Division I","Atlantic Coast","Carolina DI",16,12,292,1.51567927650331
"73","Kansas (Horrorzontals)","College","Men","Lawrence","KS","/teams/events/Eventteam/?TeamId=vgzimJWI%2fvChtKOCMYk4KK74pTuzN05ygYRSW7wjmhw%3d",69,"Kansas",1358,"Division I","South Central","Ozarks DI",17,15,213,1.47096686552385
"74","Mary Washington (Mother of George)","College","Men","Fredericksburg","VA","/teams/events/Eventteam/?TeamId=msllS%2bhsUzVl6ROTrePKZDep3sUpNEKd1CIWxhjk5t8%3d",62,"Mary Washington",1387,"Division III","Atlantic Coast","Northern Atlantic Coast DIII",23,8,244,1.43700646402613
"75","Whitman  (Sweets)","College","Men","Walla Walla","WA","/teams/events/Eventteam/?TeamId=8ZZQ8gCe6nzmFwtn0U0WtZF8%2fps0zWP22oeKKf609yw%3d",54,"Whitman",1430,"Division III","Northwest","Northwest DIII",25,5,490,1.42394169733474
"76","Carleton College-GoP (Gods of Plastic)","College","Men","Northfield","MN","/teams/events/Eventteam/?TeamId=SWre360rQeSZz6ZjhxGoCe9Q6r82RAJxDjTtn7kG9Sg%3d",72,"Carleton College-GoP",1347,"Division III","North Central","Northwoods DIII",26,11,74,1.42123220267944
"77","Minnesota-Duluth (Northern Lights)","College","Men","Duluth","MN","/teams/events/Eventteam/?TeamId=sJymVuVAwHThzXwiLom%2fUHVib%2fgZSwnIDeIumVaczEA%3d",121,"Minnesota-Duluth",1144,"Division I","North Central","Northwoods DI",14,15,269,1.42044967173721
"78","British Columbia (Thunderbirds)","College","Men","Vancouver","BC","/teams/events/Eventteam/?TeamId=4HLZRC86txF8mwkioFhcI%2fCERgyZTYHe56jx00M6PiQ%3d",46,"British Columbia",1496,"Division I","Northwest","Cascadia DI",10,11,46,1.40103853928871
"79","Tennessee-Chattanooga (Swamp Donkeys)","College","Men","Chattanooga","TN","/teams/events/Eventteam/?TeamId=5rydMgTMcps5gJuOX1ZiOwZCw3u0qZt3JVoo44vQySI%3d",87,"Tennessee-Chattanooga",1311,"Division I","Southeast","Southern Appalachian DI",20,20,422,1.39777822139835
"80","Chicago (Junk)","College","Men","Chicago","IL","/teams/events/Eventteam/?TeamId=E7VspW1%2fxt%2fz5lTgvNMD%2fGR4hMNZfqaKawVv0M5UY3U%3d",108,"Chicago",1223,"Division I","Great Lakes","Illinois DI",18,12,90,1.34822231468384
"81","Duke (Brimstone)","College","Men","Durham","NC","/teams/events/Eventteam/?TeamId=PDwXbvXAPDfCiiq2lnuEd2z8Q4ewGK7OKseR4766GkI%3d",77,"Duke",1329,"Division I","Atlantic Coast","Carolina DI",12,12,135,1.31828081680493
"82","Penn State (Spank)","College","Men","State College","PA","/teams/events/Eventteam/?TeamId=QfrbFmzNvVWLZbmcrFTkFiUjNxvlOk%2bepWG29P8N%2bkg%3d",84,"Penn State",1317,"Division I","Ohio Valley","West Penn DI",16,24,336,1.28944309834031
"83","Villanova (Main Line Ultimate)","College","Men","Villanova","PA","/teams/events/Eventteam/?TeamId=yDfuf9XU8B2GOEgbU2%2fJtYjrUDGbDoAdUMdaVfWAOo8%3d",113,"Villanova",1201,"Division I","Ohio Valley","East Penn DI",20,12,465,1.2795146956088
"84","Texas Tech (Tumbleweed)","College","Men","Lubbock","TX","/teams/events/Eventteam/?TeamId=LZslWdLWSxJD4Zj7vhzE6sltHdqmOczdAg3b1ozkXz8%3d",116,"Texas Tech",1184,"Division I","South Central","North Texas DI",18,15,437,1.24519207398959
"85","Arizona (Sunburn)","College","Men","Tucson","AZ","/teams/events/Eventteam/?TeamId=mIG3GWOHpvk1OaTJZuxlKOl50aOutwIYNPrOiAE5l%2b4%3d",94,"Arizona",1261,"Division I","Southwest","Desert DI",17,14,16,1.22988361247879
"86","Missouri S&T (Miner Threat)","College","Men","Rolla","MO","/teams/events/Eventteam/?TeamId=W8UUHseRD59tmKBR2IJXJBJsskroIWfOOUZ0Z0ag%2bKQ%3d",97,"Missouri S&T",1251,"Division III","South Central","Ozarks DIII",23,7,275,1.22806473559565
"87","Appalachian State (Nomads)","College","Men","Boone","NC","/teams/events/Eventteam/?TeamId=snvbRv2C0ZswKUv7%2boKDEmZrijqrV7JEuFAoYWnR5j4%3d",NA,NA,NA,NA,NA,NA,17,14,14,1.20975791216718
"88","Washington University (Contra)","College","Men","St. Louis","MO","/teams/events/Eventteam/?TeamId=GVRRRH5dCJKXzpO%2f281ILs%2bBniIhmMNQ0vgGubZLzBU%3d",89,"Washington University",1309,"Division I","South Central","Ozarks DI",16,14,477,1.19649606353842
"89","Kentucky (KULT)","College","Men","Lexington","KY","/teams/events/Eventteam/?TeamId=viPHhenv3hkTmrm44d%2bgrEF5P%2bhh65b9rO30Grd1FQA%3d",88,"Kentucky",1311,"Division I","Great Lakes","East Plains DI",21,10,220,1.19275354121083
"90","Tennessee (Agent Orange)","College","Men","Knoxville","TN","/teams/events/Eventteam/?TeamId=8b%2fZq7t3p5NQkd4HxWeuAr4D7vHkpxxbmN3MtmM%2bDP8%3d",117,"Tennessee",1179,"Division I","Southeast","Southern Appalachian DI",17,9,423,1.18894211736769
"91","San Diego State (Federalis)","College","Men","San Diego","CA","/teams/events/Eventteam/?TeamId=l4UPDKIb4yFzIbgqTlMDbhET7fD9EuesaqaV6modK%2f0%3d",164,"San Diego State",984,"Division I","Southwest","SoCal DI",21,20,370,1.17575008954785
"92","Richmond (Spidermonkeys)","College","Men","Richmond","VA","/teams/events/Eventteam/?TeamId=0wbVJWUWJSjaXjkRG5bC0mj%2f%2fO%2ffQh9r2D5SyWNJRJI%3d",91,"Richmond",1304,"Division III","Atlantic Coast","Northern Atlantic Coast DIII",19,12,356,1.15037634570546
"93","Lehigh (Lehigh )","College","Men","Bethlehem","PA","/teams/events/Eventteam/?TeamId=Rceqssn2blurkFqYG9QQq2ftPSNLzGahNCS%2b%2f%2bsTbJo%3d",112,"Lehigh",1207,"Division I","Ohio Valley","East Penn DI",17,13,229,1.14440358226063
"94","Baylor (Stonewall A)","College","Men","Waco","TX","/teams/events/Eventteam/?TeamId=QnS5vbXz8ZdcH0psh29j3WOpEKeh58wCDHT%2bRKLWdyw%3d",83,"Baylor",1318,"Division I","South Central","North Texas DI",16,12,29,1.12392524792135
"95","North Texas (UNT illeagles)","College","Men","Denton","TX","/teams/events/Eventteam/?TeamId=NlarFUG7%2f%2bDH3Z1PkTVXfkpg9dG7DCeXtt%2bsVRHeWoM%3d",129,"North Texas",1100,"Division I","South Central","North Texas DI",26,15,304,1.11764064917514
"96","Bates (Bates Orange Whip)","College","Men","Lewiston","ME","/teams/events/Eventteam/?TeamId=vUSWjMoWZSoNv9azDJFs3KrwD9SoQ2xwtKORyfyyEZc%3d",111,"Bates",1209,"Division III","New England","North New England DIII",18,11,27,1.09901434431958
"97","Purdue (Undue Ultimate)","College","Men","West Lafayette","IN","/teams/events/Eventteam/?TeamId=lHfv0s%2fBWsu4kn2ayzcA5gg%2fxNEIkYx1dU5dFr4JDiI%3d",105,"Purdue",1228,"Division I","Great Lakes","East Plains DI",16,15,349,1.07811723600524
"98","Vermont (Chill)","College","Men","Burlington","VT","/teams/events/Eventteam/?TeamId=qywIAfUB5m%2faXJZvqzzOIxESHTpAVWu88mvuuI1nuTY%3d",58,"Vermont",1411,"Division I","New England","North New England DI",8,14,463,1.07272811631259
